Product Name,Vendor,Part Number,Desc,Link,Unit Price,Qty,Total Price,Running Total,Already Owned?
"Cylindrical Battery Contacts, Clips, Holders & Springs 18650 DUAL THM BATTERY HOLDER",Mouser,1049,,https://www.mouser.com/ProductDetail/Keystone-Electronics/1049?qs=%2F7TOpeL5Mz78b0pqEFIl5w%3D%3D,$6.17,1,$6.17,$6.17,FALSE
"Phone Connectors 1/4""HOR Snap-fit CHASSIS CONN",Mouser,ACJS-MHOM,,https://www.mouser.com/ProductDetail/Amphenol/ACJS-MHOM?qs=t8VhaDIDl4vZ9ROsgrVY0w%3D%3D,$1.15,1,$1.15,$7.32,FALSE
Phone Connectors Audio Jacks,Mouser,SJ1-3554NG,,https://www.mouser.com/ProductDetail/Same-Sky/SJ1-3554NG?qs=WyjlAZoYn50FPSMJgVuxug%3D%3D,$1.12,1,$1.12,$8.44,FALSE
"USB Connectors USB Jack, Type C, 2.0, MSMT, Horizontal, Gold Flash, 16 Pin, TR",Mouser,UJ20-C-H-G-MSMT-2B-P16-TR,,https://www.mouser.com/ProductDetail/Same-Sky/UJ20-C-H-G-MSMT-2B-P16-TR?qs=6avfeC6zeS7u%252BNINt00UrA%3D%3D,$0.47,2,$0.94,$9.38,FALSE
Power Inductors - SMD 4.7  UH  20%,Mouser,SDCH1V5040-4R7M-R,,https://www.mouser.com/ProductDetail/Eaton/SDCH1V5040-4R7M-R?qs=TuK3vfAjtkWxzjAZQpI5RQ%3D%3D,$0.17,2,$0.34,$9.72,FALSE
Rocker Switches Sealed Rocker Switch SPDT 3A 120V,Mouser,400AWMSP1R1BLKM6QE,,https://www.mouser.com/ProductDetail/E-Switch/400AWMSP1R1BLKM6QE?qs=f57gQzlyLiqt3jLeaZTxLw%3D%3D,$3.92,1,$3.92,$13.64,FALSE
Multilayer Ceramic Capacitors MLCC - SMD/SMT 2200pF +-5% 50V,Mouser,1206N222J500CT,,https://www.mouser.com/ProductDetail/Walsin/1206N222J500CT?qs=ZrPdAQfJ6DNDIm3g%252BmD%2FDA%3D%3D,$0.17,2,$0.34,$13.98,FALSE
Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 16V X5R 3 1206,Mouser,CL31A226MOCLNNC,,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL31A226MOCLNNC?qs=X6jEic%2FHinD7wddQJyY%252BZw%3D%3D,$0.25,4,$1.00,$14.98,FALSE
Aluminum Electrolytic Capacitors - Radial Leaded WCAP-PTHR 10uF 80V 20% Radial,Mouser,870056174001,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/870056174001?qs=qpJ%252B%252B%252Bdg6p0KYLmtcsurBg%3D%3D,$1.38,2,$2.76,$17.74,FALSE
Basic / Snap Action Switches Detect,Mouser,ZMA00A150L04RC,,https://www.mouser.com/ProductDetail/CK-Switches/ZMA00A150L04RC?qs=vOd3edNlRKCBpE45lgpGig%3D%3D,$1.31,7,$9.17,$26.91,FALSE
Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF +-10% 25V,Mouser,1206X225K250CT,,https://www.mouser.com/ProductDetail/Walsin/1206X225K250CT?qs=fIkAfuXiAQIiAdqjc7MDvw%3D%3D,$0.19,2,$0.38,$27.29,FALSE
Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF+/-10% 16V X5R 1206,Mouser,CL31A475KOHNNNE,,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL31A475KOHNNNE?qs=X6jEic%2FHinAWUIArgKg9nA%3D%3D,$0.21,4,$0.84,$28.13,FALSE
Film Capacitors .0027uF 50VDC 2% PPS FILM 0805,Mouser,ECH-U1H272GX5,,https://www.mouser.com/ProductDetail/Panasonic/ECH-U1H272GX5?qs=DWeLBnRir%2FJzz9yLS1hFOg%3D%3D,$0.56,4,$2.24,$30.37,FALSE
Single Color LEDs Red Oval LED,Mouser,C5SMF-RJF-CT0W0BB2,,https://www.mouser.com/ProductDetail/Cree-LED/C5SMF-RJF-CT0W0BB2?qs=vnbNJPHmPnMRCSh39bwmBg%3D%3D,$0.16,1,$0.16,$30.53,FALSE
Single Color LEDs Green Oval LED,Mouser,C5SMF-GJF-CV0Y0791,,https://www.mouser.com/ProductDetail/Cree-LED/C5SMF-GJF-CV0Y0791?qs=1sbE9T7hb3bLY9RhY5fsuw%3D%3D,$0.23,1,$0.23,$30.76,FALSE
Single Color LEDs Yellow Diffused,Mouser,LTL-307Y,,https://www.mouser.com/ProductDetail/LITEON/LTL-307Y?qs=LJdOdOP975yN06YmF7ulEw%3D%3D,$0.19,1,$0.19,$30.95,FALSE
